Code,Name,NameWoDiacritics,Function,Longitude,Latitude
GBCNM,Central Mainland (Shetland),Central Mainland (Shetland),1-------,-1.2666666666666666,60.31666666666667
GBRRI,Cerrigdrudion,Cerrigdrudion,--3--6--,-3.55,53.166666666666664
GBCDZ,Chadwell,Chadwell,-----6--,-0.8333333333333334,52.8
GBCPD,Chapel Saint Leonards,Chapel Saint Leonards,1-------,0.31666666666666665,53.21666666666667
GBCEO,Charlecote,Charlecote,--3--6--,-1.6166666666666667,52.2
GBCHD,Charleston,Charleston,1-------,-3.0,56.583333333333336
GBCWN,Charlestown,Charlestown,123-----,-3.5,56.03333333333333
GBZWN,Charlestown of Aberlour,Charlestown of Aberlour,-----6--,-3.3666666666666667,57.78333333333333
GBCHJ,Charmouth,Charmouth,1-------,-2.9,50.733333333333334
GBCDX,Cheddington,Cheddington,-----6--,-0.6666666666666666,51.833333333333336
GBCHT,Chepstow,Chepstow,1-------,-2.6666666666666665,51.63333333333333
GBCST,Chichester,Chichester,123-----,-0.7833333333333333,50.833333333333336
GBCKR,Chickerell,Chickerell,1-------,-2.5,50.61666666666667
GBCDK,Chideock,Chideock,1-------,-2.8166666666666664,50.71666666666667
GBEEE,Chieveley,Chieveley,-----6--,-1.3166666666666667,51.45
GBXCH,Chilham,Chilham,-----6--,-1.5833333333333333,51.4
GBCII,Chillington,Chillington,1-------,-4.4,51.0
GBCHO,Chilton,Chilton,--3--6--,-1.55,54.65
GBZAN,Chinnor,Chinnor,-----6--,-0.9,51.68333333333333
GBXPP,Chipperfield,Chipperfield,-----6--,-0.8,52.166666666666664
GBCPR,Chipping Warden,Chipping Warden,-----6--,-12.0,53.166666666666664
GBCCH,Christchurch,Christchurch,123-----,-1.75,50.733333333333334
GBCUB,"Church Bay, Rathlin Island","Church Bay, Rathlin Island",1-3-----,-6.183333333333334,55.28333333333333
GBCFZ,Church Lawford,Church Lawford,-----6--,-1.3166666666666667,52.36666666666667
GBXCW,Chwilog,Chwilog,-----6--,-4.55,53.583333333333336
GBRAS,"Clachan, Raasay","Clachan, Raasay",1-3-----,-6.066666666666666,57.333333333333336
GBCLS,Clacton-on-Sea,Clacton-on-Sea,123-----,1.15,51.8
GBCL7,Clanfield,Clanfield,-----6--,-1.0,50.93333333333333
GBCLJ,Claonaig,Claonaig,1-3-----,5.383333333333334,55.75
GBZAO,Claughton,Claughton,-----6--,-2.6666666666666665,54.083333333333336
GBZAP,Clayton,Clayton,-----6--,-2.183333333333333,53.46666666666667
GBCYO,Clayton,Clayton,-23--6--,-2.183333333333333,53.483333333333334
GBXCL,Cleator Moor,Cleator Moor,-----6--,-3.85,54.86666666666667
GBCMM,Cleobury Mortimer,Cleobury Mortimer,--3--6--,-2.4833333333333334,52.36666666666667
GBQZL,Clevedon,Clevedon,1-3-----,-2.8333333333333335,51.43333333333333
GBCGP,Cloghan Point/Carrickfergus,Cloghan Point/Carrickfergus,1-3-----,-5.8,54.7
GBGHR,Clogher,Clogher,-----6--,-7.2,54.416666666666664
GBCVL,Clovelly,Clovelly,1-------,-4.4,51.0
GBCZV,Clunbury,Clunbury,1-3-----,-2.9166666666666665,52.416666666666664
GBCLY,Clydebank,Clydebank,123-----,-4.4,55.9
GBCYD,Clynderwen,Clynderwen,1-------,-4.7,51.833333333333336
GBCNZ,Cockenzie,Cockenzie,1-------,-2.95,55.95
GBCQQ,Cockwood,Cockwood,1-------,-3.4333333333333336,50.6
GBCCO,Colden Common,Colden Common,--3--6--,-1.3166666666666667,51.0
GBCGB,Coldingham,Coldingham,1-3-----,-2.1666666666666665,55.88333333333333
GBZAQ,Coleshill,Coleshill,-----6--,-1.65,51.63333333333333
GBCVA,Colintraive,Colintraive,1-3-----,-5.133333333333334,55.916666666666664
GBOLL,Coll,Coll,1-------,-6.516666666666667,56.61666666666667
GBCAF,Collafirth,Collafirth,1-3-----,-1.3666666666666667,60.53333333333333
GBCIT,Collieston,Collieston,1-------,-1.9166666666666665,57.35
